,ans1,ans2,label
0,collection  of elements which are ordered and can be changed is defined as list,Lists are mutable i.e they can be edited,1
1,A tuple is a sequence of immutable Python objects,tuples are used to store immutable object,1
2,"Dictionary in Python is an mutable, unordered collection of data values,Dictionary holds key:value pair.","A dictionary is a collection which is unordered, changeable and they have keys and values",1
3,"A lambda function is a small anonymous function,but can only have one expression",Lambda is a single expression anonymous function often used as inline function,1
4,A Python decorator is a specific change that we make in Python syntax to alter functions easily,Python has an interesting feature called decorators to add functionality to an existing code,1
5,The module pdb defines an interactive source code debugger for Python programs.,Python has a built-in debugger called pdb,1
6,"Django is a free and open source web application framework written in Python,which follows the model-view-template (MVT) architectural 
","Django is a high-level Python Web framework that encourages rapid development and clean, pragmatic design",1
7,Map applies a function to all the items in an input_list,"map() function returns a list of the results after applying the given function to each item of a given iterable (list, tuple etc.)",1
8,PIP is a package manager for installing  Python packages, pip command is a tool for installing and managing Python packages,1
9,"Python is a widely used general-purpose, dynamic, extensible, high-level programming language",Python is an interpreted objectoriented programming language,1
10,Encapsulation means wrapping the implementation of data member and methods inside a class,prevent data from direct modification which is called encapsulation,1
11,Abstraction means hiding the complexity and only showing the essential features of the object,Abstraction is used to hide internal details and show only functionalities.,1
12, a class is derived from another class inheriting its features.,the child class inherits the attributes and methods of the parent class,1
13,Polymorphism means that different types respond to the same function,polymorphism means same function name (but different signatures) being uses for different types,1
14,"The slice() constructor creates a slice object representing the set of indices specified by range(start, stop, step)","A slice object is used to specify how to slice a sequence. You can specify where to start the slicing, and where to end. You can also specify the step, which allows you to e.g. slice only every other item.",1
15,"PEP 8 is a coding convention, a set of recommendation, about how to write your Python code more readable.",PEP 8 is defined as a document that helps us to provide the guidelines on how to write the Python code,1
16,Pickling - is the process whereby a Python object hierarchy is converted into a byte stream,pickling :used to convert python object  into a binary stream ,1
17,Lists are mutable i.e they can be edited whereas Tuples are immutable ,"list element and size can be changed(mutable), but a tuple cannot",1
18,"A Set is an unordered collection data type that is iterable, mutable, and has no duplicate elements",a set is a data structure that stores unordered items,1
19,virtual environment will keep different project environments isolated,virtual environment  is  used to create an isolated workspace for a Python application.,1
0,collection  of elements which are ordered and can be changed is defined as list,"List is a mutable, or changeable, ordered sequence of element",1
