0,1,2,PIP is a package manager for installing  Python packages,Pip is a python package management system which can also be used to install various software written in python,1
1,2,3,"A mechanism to deselect a range of items from sequence types like list, tuple, strings etc. is known as slicing.","slice=[start index,end index,step] and join the elements from start to end index",0
2,3,4," A Python dictionary is a mapping of unique keys to values. Dictionaries are mutable, which means they can be changed",A dictionary consists of a collection of index-value pairs. Each index-value pair maps the key to its associated value,0
3,4,5,SET is unordered collections of unique elements, Set can be defined as the unordered collection of various items ,1
4,5,6,tuples are used to store immutable object,A Python tuple is just like a list of a sequence of mutable objects,0
5,6,7,The map() function calls the specified function for each item of an iterable,The map() built-in function returns an value or after applying the function to each item in the sequence,0
6,7,8," Encapsulation. In an object oriented python program, you can restrict access to methods and variables. This can prevent the data from being modified by accident and is known as encapsulation",allow  data from direct modification which is called encapsulation,0
7,8,9,Lists are mutable i.e they can be edited whereas Tuples are immutable , lists are mutable whereas tuples are mutable,0
8,9,10,Map applies a function to all the items in an input_list,"map() function returns a dictionary of the results after applying the given function to each item of a given iterable (list, tuple etc.)",0
9,10,11,pickling is define as tool to convert python object  into a analog stream ,pickling :used to convert python object  into a analog stream ,0
10,11,12,A Python tuple is just like a list of a sequence of immutable objects,A Python tuple is just like a list of a sequence of mutable objects,0
11,12,13,pdb implements an interactive debugging environment for Python programs,"pdb, short for java debugger is a standard built-in module used to debug java code interactively",0
12,13,14,"Pip is a package management system, used to install and manage software packages written in Python",The Python pickle is defined as a module which accepts any Python object and converts it into a analog representation.,0
13,14,15,PEP 8 is defined as a document that helps us to provide the guidelines on how to write the Python code, a document that tell us to provide the guidelines on how to write the java code is PEP8,0
14,15,16,virtual environment  is  used to create an isolated workspace for a Python application.,A virtual environment is a tool that helps to keep dependencies required by different projects separate by creating unisolated python virtual environments for them,0
15,16,17,"Dictionary in Python is an mutable, unordered collection of data values,Dictionary holds key:value pair.",A dictionary consists of a collection of index-value pairs. Each index-value pair maps the key to its associated value,0
16,17,18,"Pip is a package management system, used to install and manage software packages written in Python",Pip is a python package management system which can also be used to uninstall various software written in python,0
17,18,19,"list element and size can be changed(mutable), but a tuple cannot","list element and size can be unchanged(immutable), but a tuple cannot",0
18,19,20,the child class inherits the attributes and methods of the parent class,Python inheritance means creating a new class that inherits all functionalities from parent class & allows to add more,1
19,20,21,polymorphism means same function name (but different signatures) being uses for different types,polymorphism means different function name (but different signatures) being uses for  different types,0
20,21,22, a class is derived from another class inheriting its features.,the child class inherits the attributes and methods of the child class,0
21,22,23,"map() function returns a list of the results after applying the given function to each item of a given iterable (list, tuple etc.)",The map() built-in function returns an iterator after applying the function to each item in the sequence,1
22,23,24,Lists are mutable i.e they can be edited whereas Tuples are immutable , lists are mutable whereas tuples are immutable,1
23,24,25,Small anonymous functions can be created with the lambda keyword,Lambda is a single expression unanonymous function often used as inline function,0
24,25,26,Inheritance allows us to define a class that inherits all the methods and properties from another class,Inheritance allows us to define a class that inherits all the methods and properties from same class,0
25,26,27,Encapsulation means wrapping the implementation of data member and methods inside a class," Encapsulation. In an object oriented python program, you can allow access to methods and variables. This can allow the data from being modified by accident and is known as encapsulation",0
26,27,28,A tuple is a sequence of immutable Python objects,tuples are used to store mutable object,0
27,28,29,Python is an open-source programming language that is high level and works as a general purpose language,Python is an close-source programming language that is low level and works as a general purpose language,0
28,29,30,the tuples are mutable,tuples are used to store mutable object,0
29,30,31, pip command is a tool for installing and managing Python packages,Pip is a python package management system which can also be used to install various software written in python,1
30,31,32,"pdb, short for python debugger is a standard built-in module used to debug python code interactively",pdb implements an interactive debugging environment for java programs,0
31,32,33,Map applies a function to all the items in an input_list,The map() function calls the any function for each item of an iterable,0
32,33,34,PIP is a package manager for installing  Python packages,"Pip is a package management system, used to install and unmanage software packages written in Python",0
33,34,35,Lists are mutable i.e they can be edited,"List is a mutable, or changeable, ordered sequence of element",1
34,35,36,Decorators allow you to make simple modifications to callable objects like functions,Python has an interesting feature called decorators to delete functionality to an existing code,0
35,36,37,"List is a mutable, or changeable, ordered sequence of element","List is a immutable, or changeable, ordered sequence of element",0
36,37,38,The module pdb defines an interactive source code debugger for Python programs.,"pdb, short for java debugger is a standard built-in module used to debug java code interactively",0
37,38,39,PEP 8 is defined as a document that helps us to provide the guidelines on how to write the Python code,PEP 8: a set of rules to format and degrades codes readability.,0
38,39,40,Abstraction is used to hide internal details and show only functionalities.,"Abstraction means, showcasing only the required things to the outside world while hiding the details.",1
39,40,41,Small unanonymous functions can be created with the lambda keyword,lambda functions is very small and consists of only two expression,0
40,41,42,Abstraction means hiding the complexity and only showing the essential features of the object,Abstraction show  the background details and emphasizes the essential data points for reducing the complexity and increase efficiency,0
41,42,43,virtual environment  is  used to create an isolated workspace for a Python application.,Virtual environment  is a tool which prevents us to make isolated python environments,0
42,43,44, lists are mutable whereas tuples are immutable,"list element and size can be unchanged(immutable), but a tuple cannot",0
43,44,45,A virtual environment is a tool that helps to keep dependencies required by different projects separate by creating isolated python virtual environments for them,A virtual environment is a tool that helps to keep dependencies required by different projects separate by creating unisolated python virtual environments for them,0
44,45,46,"Pip is a package management system, used to install and unmanage software packages written in Python",Pip is a python package management system which can also be used to uninstall various software written in python,0
45,46,47,Abstraction show  the background details and emphasizes the essential data points for reducing the complexity and increase efficiency,"Abstraction means, showcasing only the required things to the outside world while showing the details.",0
46,47,48,The difference between list and tuple is that a list is mutable while tuple is not,The difference between list and tuple is that a list is immutable while tuple is not,0
47,48,49,Polymorphism means that different types respond to the same function,Polymorphism is the concept where an object behaves same in different  situations,0
48,49,50,Abstraction is used to hide internal details and show only functionalities.,Abstraction  hides the background details and emphasizes the essential data points for reducing the complexity and increase efficiency,1
49,50,51,The module pdb defines an interactive source code debugger for Python programs.,pdb implements an interactive debugging environment for Python programs,1
50,51,52,"Django is a high-level Python Web framework that encourages rapid development and clean, pragmatic design",Django is a web framework built with the java programming language,0
51,52,53,Abstraction means hiding the complexity and only showing the essential features of the object,Abstraction is used to hide internal details and show only functionalities.,1
52,53,54,A virtual environment is a tool that helps to keep dependencies required by different projects separate by creating isolated python virtual environments for them,Virtual environment  is a tool which prevents us to make isolated python environments,0
53,54,55,PEP 8 is defined as a document that helps us to provide the guidelines on how to write the Python code,PEP 8 is defined as a document that helps us to provide the guidelines on how to write the java code,0
54,55,56,Lambda is a single expression anonymous function often used as inline function,Small unanonymous functions can be created with the lambda keyword,0
55,56,57,pickling is define as tool to convert python object  into a analog stream ,The Python pickle is defined as a module which accepts any Python object and converts it into a analog representation.,0
56,57,58,Pip is a python package management system which can also be used to install various software written in python, pip command is a tool for uninstalling and managing Python packages,0
57,58,59,A Python decorator is a specific change that we make in Python syntax to alter functions easily,Decorators allow you to make simple modifications to callable objects like functions,1
58,59,60,Python is an interpreted objectoriented programming language,"Python is an interpreted, high-level, general-purpose designing language",0
59,60,61,prevent data from direct modification which is called encapsulation,Encapsulation is the packing of data and functions operating on that data into a double component and allowing the access to some of the object's components,0
60,61,62,"A Set is an unordered collection data type that is iterable, mutable, and has no duplicate elements",a set is a data structure that stores unordered items,1
61,62,63,"A lambda function is a small anonymous function,but can only have one expression",Lambda is a single expression anonymous function often used as inline function,1
62,63,64,"PEP 8 is a coding convention, a set of recommendation, about how to write your Python code more readable.",PEP 8: a set of rules to format and degrades codes readability.,0
63,64,65,"A Set is an unordered collection data type that is iterable, mutable, and has no duplicate elements", Set can be defined as the unordered collection of various items ,1
64,65,66,Python inheritance means creating a new class that inherits all functionalities from parent class & allows to add more,Inheritance allows us to define a class that inherits all the methods and properties from same class,0
65,66,67,lambda functions is very small and consists of only one expression,Small unanonymous functions can be created with the lambda keyword,0
66,67,68,"A dictionary is a collection which is unordered, changeable and they have keys and values"," A Python dictionary is a mapping of similar keys to values. Dictionaries are mutable, which means they can be changed",0
67,68,69,Small anonymous functions can be created with the lambda keyword,Small unanonymous functions can be created with the lambda keyword,0
68,69,70,A Python decorator is a specific change that we make in Python syntax to alter functions easily,Python has an interesting feature called decorators to delete functionality to an existing code,0
69,70,71,virtual environment will keep different project environments isolated,Virtual environment  is a tool which prevents us to make isolated python environments,0
70,71,72,Lists are mutable i.e they can be edited whereas Tuples are immutable ,"list element and size can be unchanged(immutable), but a tuple cannot",0
71,72,73,"Python is a widely used general-purpose, dynamic, extensible, high-level programming language",Python is an interpreted objectoriented designing language,0
72,73,74,Decorators are functions which will not change the functionality of other functions,Python has an interesting feature called decorators to delete functionality to an existing code,0
73,74,75,"Django is a free and open source web application framework written in Python,which follows the model-view-template (MVT) architectural 
", Django is an MVT web framework used to build web applications,1
